id,d_c1_h,d_c1_s,d_c1_v,d_c1_pc,d_c2_h,d_c2_s,d_c2_v,d_c2_pc,d_c3_h,d_c3_s,d_c3_v,d_c3_pc
27,11.369708773713617,0.3218217237140176,0.740086452934708,40.34,228.46360903309528,0.2865394983492634,0.7629666198306634,18.07,217.0896131071288,0.5074305077353884,0.5959752894610602,17.52
34,44.75830162272572,0.5175756033126908,0.5954214194101333,33.47,15.458375390799699,0.4934196360434789,0.5257746380359916,31.07,340.82216862288305,0.4125174200266243,0.47319389694719194,11.95
38,5.795517711453001,0.1275644605292797,0.9111844031439632,45.71,40.862462722940364,0.16705778150158088,0.8679580884678857,34.82,329.95498982220636,0.14222094132927252,0.8683512926496293,6.34
54,89.12802337720262,0.3594183241486919,0.6041643637321418,23.18,114.47462102969402,0.3570026491187139,0.43431804035408816,20.76,208.0360533322873,0.4561894590775472,0.8658430246201572,16.25
80,205.22080521275421,0.8221400128062498,0.7947401825063781,38.63,2.2611581104238354,0.7135071387825925,0.7459369001627526,37.66,19.207152617442443,0.5790217198086821,0.6679961961690136,12.63
87,0.8904089418528904,0.054017260737716656,0.95736869524466,33.52,28.644045885375828,0.5115219114851148,0.573541686680105,28.57,193.16675053957619,0.1689274526248938,0.7531073529411934,15.56
241,210.79540662620533,0.3035733174723176,0.90357756781453,37.53,33.8077059129779,0.42006217982350713,0.7634954110753782,19.58,16.64402660526595,0.46540403977662054,0.6340505073625058,16.99
243,215.4463137941416,0.11021543515627488,0.9441174722902936,32.72,17.183989420589725,0.37517010890396535,0.6995915032680008,27.35,48.58255142460383,0.3999491097796611,0.6675401983637497,20.85
250,199.29827018732564,0.2223867875831817,0.822022635182221,40.93,11.90630750138493,0.4594429262893146,0.7385981483520822,19.74,41.58549504065162,0.5498529853174358,0.8224968474149115,15.42
262,22.30280630522023,0.58766464835897,0.5161569035098984,37.41,151.84670919524729,0.36683135293059976,0.03516026045611183,28.99,83.41197776336539,0.42892205051311544,0.19797385620914615,20.53
314,13.874158158042318,0.3973903004389046,0.4038168457511136,36.48,215.19479488820664,0.1493822462389192,0.8440344128138765,24.53,251.99689844542294,0.056660779413508805,0.8156948848263508,17.71
343,200.84910209824963,0.3669804315795156,0.8534422364727295,43.34,14.665315815168348,0.42642555545928,0.5762262647722881,21.53,96.64628654732944,0.4309987247730577,0.253142060599553,12.77
355,203.5729439808044,0.45460458137665977,0.7870468582017982,42.38,19.30460300240893,0.34084681117111393,0.6451782677064959,22.57,41.09990799743899,0.37370216635132886,0.7175457966630667,17.92
374,215.4292796004173,0.2984928993676235,0.7532596535709329,35.82,22.55531410131049,0.4952841280986453,0.5572591926130681,34.83,46.61291997655557,0.3500432852170982,0.5734585631127513,15.93
410,22.464561719832194,0.21460575432110832,0.5415881256886673,33.04,260.9591971137831,0.2544234392390964,0.28676073734361807,17.53,305.1829117704775,0.34143538907389226,0.22502581763372298,16.87
531,97.96371468085817,0.6274819997114354,0.41662211838623603,23.11,57.34500598274447,0.4935835289854877,0.6245146839635116,23.05,23.949353148081826,0.5689687494569955,0.48177932387173306,18.54
575,14.357855486126605,0.42751401537028694,0.5110763685318842,52.67,202.03459286042428,0.5906567765787802,0.6987039102533709,23.59,338.9677310082801,0.3707387167757957,0.24821516144851727,8.86
586,28.89490944937962,0.3992776393992116,0.7990130062950859,30.61,184.89345745354962,0.26899405916522406,0.8187591433022131,26.5,349.57775195260575,0.7243585563488865,0.502183424765412,14.28
755,53.43286725742654,0.4279408959043273,0.8927931626706532,50.7,14.429494292592961,0.432190258285962,0.6361491096069832,36.94,199.28029598326518,0.35845168885195033,0.6975403887749739,5.41
801,229.7059185803178,0.6353403397680336,0.5623762611083578,61.08,196.31962054452654,0.4851190009666135,0.6954664668415387,8.85,22.718295276100818,0.4166848772226131,0.6471760073035634,8.39
